robot,variant,coupling,terrain,generation,median,q25,q75,mean,std,n
babya,base,blf,flat,85,8.149119495004458,7.4375330677775615,9.171365190529649,8.184952553846623,1.431891769557902,30
babya,base,blf,flat,86,8.241054966303734,7.4375330677775615,9.273164621951887,8.229244132662346,1.4423969544020534,30
babya,base,blf,flat,87,8.377655574738373,7.521599094824042,9.273164621951887,8.309576975506745,1.4618583677364847,30
babya,base,blf,flat,88,8.377655574738373,7.524679282937629,9.483661517312873,8.334041158148153,1.4757172536730563,30
babya,base,blf,flat,89,8.377655574738373,7.602463377635623,9.497746657665447,8.359017683097688,1.481246371479299,30
babya,base,blf,flat,90,8.377655574738373,7.653877027655019,9.548610388416662,8.421594941169293,1.4297433172968608,30
babya,base,blf,flat,91,8.46505557370961,7.857576852127297,9.548610388416662,8.49408658016297,1.4507731730987812,30
babya,base,blf,flat,92,8.46505557370961,7.863680992090534,9.548610388416662,8.521879329976837,1.434464481772958,30
babya,base,blf,flat,93,8.510148232961559,7.863680992090534,9.548610388416662,8.549182247558054,1.4088432229358725,30
babya,base,blf,flat,94,8.537233698795028,7.896054025663656,9.568110153442358,8.617849843171326,1.3894386669880257,30
babya,base,blf,flat,95,8.537233698795028,7.896054025663656,9.754716190562801,8.66160176246834,1.389965319027964,30
babya,base,blf,flat,96,8.631314354615029,7.924405317206583,9.807233830363401,8.712769294035159,1.4306196137443608,30
babya,base,blf,flat,97,8.641760097193188,7.924405317206583,9.807233830363401,8.728151369893673,1.4212792727474122,30
babya,base,blf,flat,98,8.641760097193188,7.924405317206583,9.807233830363401,8.739545133595898,1.43213539481851,30
babya,base,blf,flat,99,8.650719107515375,7.9634760230715536,9.807233830363401,8.767282376455967,1.4303399261004368,30
babya,base,blf,flat,100,8.650719107515375,7.9634760230715536,9.807233830363401,8.7909302262547,1.4432048565899729,30
babya,base,blf,flat,101,8.650719107515375,7.9634760230715536,9.807233830363401,8.8123847693577,1.422649516662658,30
babya,base,blf,flat,102,8.745050197693978,7.9634760230715536,9.83650952845018,8.849804407309879,1.4358814021748438,30
babya,base,blf,flat,103,8.832744286227255,7.9634760230715536,9.926457651685958,8.930688719644932,1.4490587578760017,30
babya,base,blf,flat,104,8.832744286227255,8.225445726967752,9.926457651685958,8.949228600994653,1.4312045465258967,30
babya,base,blf,flat,105,8.923948913148914,8.225445726967752,9.992259291210837,9.000104578965049,1.472976526839999,30
babya,base,blf,flat,106,9.305747778592394,8.225445726967752,9.992259291210837,9.057435866423475,1.4694758223694129,30
babya,base,blf,flat,107,9.305747778592394,8.225445726967752,9.992259291210837,9.081480485258133,1.4846928720547201,30
babya,base,blf,flat,108,9.305747778592394,8.262435175704207,9.994113399435413,9.115642982877688,1.4777189198814298,30
babya,base,blf,flat,109,9.305747778592394,8.359882822643154,9.994113399435413,9.150157751242812,1.4313654737194217,30
babya,base,blf,flat,110,9.305747778592394,8.497298973767961,9.994113399435413,9.195777446442786,1.4163333200077466,30
babya,base,blf,flat,111,9.305747778592394,8.497298973767961,9.994113399435413,9.220878220819895,1.4222527006246084,30
