robot,variant,coupling,terrain,generation,median,q25,q75,mean,std,n
ege,base,blf,rugged,1,0.868,0.77275,1.03725,0.9569,0.35282127447779843,30
ege,base,blf,rugged,10,2.1025,1.67675,2.358,2.142933333333333,0.5496102025186975,30
ege,base,blf,rugged,20,2.8255,2.48575,3.0015,2.8192666666666666,0.4349740327828803,30
ege,base,blf,rugged,30,3.295,2.86675,3.68575,3.2994666666666665,0.6634178863687825,30
ege,base,blf,rugged,40,3.7439999999999998,3.146,4.10125,3.6485333333333334,0.700289483656252,30
ege,base,blf,rugged,50,3.8289999999999997,3.363,4.388999999999999,3.871366666666667,0.7380574916085739,30
ege,base,blf,rugged,60,4.2215,3.7765,5.1265,4.3641,0.9733145414262154,30
ege,base,blf,rugged,70,4.7379999999999995,3.9045,5.229,4.676533333333333,0.9363399667499689,30
ege,base,blf,rugged,80,5.003500000000001,4.13675,5.63225,4.9683,1.0502143672800233,30
ege,base,blf,rugged,90,5.4055,4.4925,6.148,5.2495666666666665,1.1190861013786428,30
ege,base,blf,rugged,100,6.029,4.888249999999999,6.687749999999999,5.7467999999999995,1.2365738652170886,30
ege,base,blf,rugged,110,6.639,5.260249999999999,7.1857500000000005,6.149233333333333,1.2769286071727317,30
ege,base,blf,rugged,120,6.923,5.878,7.605,6.559066666666666,1.4094512733521594,30
ege,base,blf,rugged,130,6.9725,6.1065000000000005,7.93225,6.860733333333333,1.402428606169419,30
ege,base,blf,rugged,140,7.1705000000000005,6.327249999999999,8.005749999999999,7.115166666666666,1.477662811691988,30
ege,base,blf,rugged,150,7.498,6.5657499999999995,8.39275,7.365266666666667,1.4553889617160964,30
ege,base,blf,rugged,160,7.759,6.68875,8.5365,7.5494,1.4765195702662766,30
ege,base,blf,rugged,170,8.0655,6.945,8.64525,7.7859,1.57438904077872,30
ege,base,blf,rugged,180,8.1735,7.053,9.16225,7.9398,1.6344348258648917,30
ege,base,blf,rugged,190,8.317,7.0729999999999995,9.32575,8.166,1.6661233137291263,30
ege,base,blf,rugged,200,8.437999999999999,7.2255,9.4815,8.3616,1.7110745081421186,30
ege,base,blf,rugged,210,8.494,7.33,9.48675,8.478866666666667,1.794654202276061,30
ege,base,blf,rugged,220,8.626,7.3325,9.6095,8.620133333333333,1.8320254992453182,30
ege,base,blf,rugged,230,8.8695,7.41125,9.718,8.752366666666665,1.7951239796456542,30
ege,base,blf,rugged,240,8.8695,7.4342500000000005,9.88825,8.8856,1.8978945430533607,30
ege,base,blf,rugged,250,8.881499999999999,7.60125,10.14675,8.996933333333335,1.9599912197785976,30
ege,base,blf,rugged,260,8.881499999999999,7.60125,10.18575,9.0876,2.005327105486783,30
ege,base,blf,rugged,270,9.003499999999999,7.73975,10.19425,9.198733333333333,2.002934242956867,30
