robot,variant,coupling,terrain,seed,distance,em,drag_pct
ege,phi,uncoupled,rugged,11,5.876552014307561,0.5092366684332011,36.92
ege,phi,uncoupled,rugged,12,5.648122215132844,0.5116332551479009,62.77333333333333
ege,phi,uncoupled,rugged,13,11.265202624519556,0.7948968319205069,53.00333333333333
ege,phi,uncoupled,rugged,14,4.897293096162403,0.3939758419494958,23.22
ege,phi,uncoupled,rugged,15,9.94959662387306,0.6813316656502831,30.07
ege,phi,uncoupled,rugged,16,9.688323663809369,0.8071579051898595,58.98333333333333
ege,phi,uncoupled,rugged,17,6.947824627076408,0.5505401727488245,19.136666666666667
ege,phi,uncoupled,rugged,18,7.286151226443517,0.5492084715582395,27.95
ege,phi,uncoupled,rugged,19,7.7252474441813,0.5736601061127463,13.193333333333332
ege,phi,uncoupled,rugged,20,6.702250280449444,0.5372151634566178,15.513333333333334
ege,phi,uncoupled,rugged,21,8.878200981239864,0.7753473821509472,58.223333333333336
ege,phi,uncoupled,rugged,22,6.651729901525594,0.5764660847478282,43.66
ege,phi,uncoupled,rugged,23,6.7875199899912015,0.7214497690914047,29.48
ege,phi,uncoupled,rugged,24,5.922516253002401,0.4868442807547604,24.293333333333333
ege,phi,uncoupled,rugged,25,5.552050300655773,0.4719902489861052,19.543333333333333
ege,phi,uncoupled,rugged,26,6.748659317877226,0.5392435359938876,25.626666666666665
ege,phi,uncoupled,rugged,27,5.616140679605355,0.4878533163357059,40.81666666666667
ege,phi,uncoupled,rugged,28,6.675660817604688,0.5823161250915334,10.19
ege,phi,uncoupled,rugged,29,10.235318462221253,0.8038024625206808,57.32333333333333
ege,phi,uncoupled,rugged,30,4.913597400449392,0.5065087449709684,58.88333333333333
gecko,base,blf,flat,1,21.97902299141448,0.975017586070439,15.25
gecko,base,blf,flat,2,24.418057041009934,0.9623688082183052,5.276666666666666
gecko,base,blf,flat,3,13.809732390740736,0.9120404661496142,11.42
gecko,base,blf,flat,4,13.263055321815656,0.9553082472947736,5.68
gecko,base,blf,flat,5,19.012753463105536,0.9795162074544168,11.47
gecko,base,blf,flat,6,21.63883218930971,0.9506143741665553,14.176666666666666
gecko,base,blf,flat,7,14.311101744247097,0.9633872063080592,6.14
gecko,base,blf,flat,8,14.76840076013861,0.9643117329609598,0.3933333333333333
gecko,base,blf,flat,9,20.942747811509875,0.9758507419484036,5.32
gecko,base,blf,flat,10,19.41964663626452,0.9671387430800146,5.826666666666667
gecko,base,blf,flat,11,22.45020455987582,0.9586608791188912,8.47
gecko,base,blf,flat,12,18.870963961185996,0.9714666084505204,3.12
gecko,base,blf,flat,13,14.322796720860554,0.9611394834803298,1.5933333333333333
gecko,base,blf,flat,14,19.41027152763498,0.977972320537827,3.9266666666666663
gecko,base,blf,flat,15,22.022848643641588,0.9596851271202212,4.49
gecko,base,blf,flat,16,20.721126143519847,0.9732550759941644,8.14
gecko,base,blf,flat,17,21.53438317968744,0.973572450059886,1.11
gecko,base,blf,flat,18,11.77225178989486,0.9202952845454584,3.683333333333333
gecko,base,blf,flat,19,23.43269730685348,0.980113952222089,16.163333333333334
gecko,base,blf,flat,20,19.561441515674243,0.985677570308779,6.873333333333333
gecko,base,blf,flat,21,17.322848718569134,0.966006078798312,4.533333333333333
gecko,base,blf,flat,22,20.198793487837463,0.9735179402138384,1.6866666666666668
