robot,variant,coupling,terrain,seed,distance,em,drag_pct
insect,phi,uncoupled,flat,6,12.077441190926304,0.924826435049514,62.57333333333333
insect,phi,uncoupled,flat,7,7.18318613920621,0.7587954321957,63.26
insect,phi,uncoupled,flat,8,7.428455696431672,0.7879739842290153,85.75333333333333
insect,phi,uncoupled,flat,9,11.03841571743046,0.8848661329932787,49.99333333333333
insect,phi,uncoupled,flat,10,10.51883030820142,0.8796812852840684,74.22333333333333
insect,phi,uncoupled,rugged,1,9.116256877729525,0.8296214627499316,82.26333333333334
insect,phi,uncoupled,rugged,2,7.499256833231032,0.8173118266347363,63.4
insect,phi,uncoupled,rugged,3,9.932712065918489,0.8522544124719321,67.15666666666667
insect,phi,uncoupled,rugged,4,9.683749103964407,0.8606621693065049,59.18
insect,phi,uncoupled,rugged,5,10.269158996819671,0.8808281301647752,52.71333333333333
insect,phi,uncoupled,rugged,6,10.487040921793811,0.869780014594207,50.32
insect,phi,uncoupled,rugged,7,9.154088306610532,0.8125713663414469,53.32
insect,phi,uncoupled,rugged,8,11.896455913268458,0.8085496528936003,83.06
insect,phi,uncoupled,rugged,9,8.870093970522117,0.8209846456589247,60.25333333333333
insect,phi,uncoupled,rugged,10,9.936676477823433,0.851255245672842,48.52666666666666
queen,base,blf,flat,1,19.756700300665337,0.9378976669319934,44.55
queen,base,blf,flat,2,18.564873051421813,0.9312555155644912,50.82666666666667
queen,base,blf,flat,3,16.560732361662847,0.9153553896176128,61.88333333333333
queen,base,blf,flat,4,10.77194817401329,0.6856814030504458,38.07333333333333
queen,base,blf,flat,5,17.722572458512797,0.91205227518312,44.52333333333333
queen,base,blf,flat,6,11.412256996325748,0.7819024972848192,32.88333333333333
queen,base,blf,flat,7,19.48425182570012,0.954669241151496,47.75333333333333
queen,base,blf,flat,8,20.926062404242803,0.967126124552079,48.833333333333336
queen,base,blf,flat,9,11.99035325798395,0.8616155396783797,51.723333333333336
queen,base,blf,flat,10,11.212215577374195,0.8710794763597318,36.46666666666667
queen,base,blf,rugged,1,13.334334234661004,0.7974263327232987,59.36333333333334
queen,base,blf,rugged,2,14.010499146578596,0.8662308448786482,59.61
queen,base,blf,rugged,3,8.74015687671927,0.7542899781750245,56.81333333333333
queen,base,blf,rugged,4,18.23947285753179,0.913146870849976,41.19
queen,base,blf,rugged,5,14.131761604375946,0.8284853956671097,54.84666666666666
queen,base,blf,rugged,6,17.24881193452687,0.9135876093464111,42.21
queen,base,blf,rugged,7,15.020231702165855,0.8798432823107301,55.92
queen,base,blf,rugged,8,15.839905960403804,0.8941045737060697,54.99333333333333
queen,base,blf,rugged,9,15.02886384521661,0.8804714252082638,61.016666666666666
queen,base,blf,rugged,10,15.613499495995082,0.8969064753927016,47.403333333333336
queen,phi,uncoupled,flat,1,5.3541596522080805,0.4818953659870001,50.44
queen,phi,uncoupled,flat,2,5.01547517878514,0.4621618046279605,43.61333333333334
queen,phi,uncoupled,flat,3,18.37800835671064,0.9368444203225094,51.77666666666666
queen,phi,uncoupled,flat,4,4.894001398355321,0.4568893782840854,53.71333333333333
queen,phi,uncoupled,flat,5,4.999165382482074,0.4440252925928468,51.00333333333333
queen,phi,uncoupled,flat,6,5.726780963432794,0.4562990246930671,40.42666666666667
queen,phi,uncoupled,flat,7,10.928373880028866,0.8302849366139538,68.16
queen,phi,uncoupled,flat,8,15.926570375522733,0.8953699466804557,43.72666666666667
queen,phi,uncoupled,flat,9,14.972496996402889,0.883579057356348,52.94
