robot,variant,coupling,train_terrain,eval_terrain,seed,distance,em,drag_pct,transfer
babya,base,blf,rugged,flat,9,14.336966282719288,0.8263025370213828,26.46,True
babya,base,blf,rugged,flat,10,23.21568756144641,0.9257819113520972,7.533333333333333,True
babya,base,blf,rugged,flat,11,16.91669756535258,0.9107774583706786,2.4166666666666665,True
babya,base,blf,rugged,flat,12,14.107773896460884,0.6958246625603149,21.136666666666667,True
babya,base,blf,rugged,flat,13,23.24477403478392,0.8813874119885375,3.303333333333333,True
babya,base,blf,rugged,flat,14,23.75184097193937,0.9249899955817356,9.026666666666667,True
babya,base,blf,rugged,flat,15,18.50861610788118,0.9067562830312068,2.8766666666666665,True
babya,base,blf,rugged,flat,16,16.96115150007457,0.8196198297195825,6.876666666666667,True
babya,base,blf,rugged,flat,17,19.084714165081724,0.7578105992173005,24.75333333333333,True
babya,base,blf,rugged,flat,18,17.684771629773085,0.8838826836281372,32.88333333333333,True
babya,base,blf,rugged,flat,19,16.61683574517365,0.8192133909927848,47.79666666666667,True
babya,base,blf,rugged,flat,20,20.642141114549663,0.930999038829202,6.99,True
babya,base,blf,rugged,flat,21,23.41076088180098,0.9458659269503648,17.666666666666668,True
babya,base,blf,rugged,flat,22,17.07150722060806,0.8727821543697768,2.39,True
babya,base,blf,rugged,flat,23,24.68207491528894,0.9355702820571756,25.05666666666667,True
babya,base,blf,rugged,flat,24,15.491691315916423,0.8942705425514762,0.17,True
babya,base,blf,rugged,flat,25,19.290760328881337,0.934794560337361,23.61,True
babya,base,blf,rugged,flat,26,17.3570693548895,0.8331754446013528,43.96333333333333,True
babya,base,blf,rugged,flat,27,21.872214970108296,0.8760961542798904,21.27,True
babya,base,blf,rugged,flat,28,25.54136802963347,0.9605447508482596,10.4,True
babya,base,blf,rugged,flat,29,19.51519995065993,0.8324651671520557,7.523333333333333,True
babya,base,blf,rugged,flat,30,22.039505191021277,0.9262309693972154,23.826666666666668,True
babya,base,blf,rugged,rugged,1,19.12198304759909,0.8950231275339701,7.1066666666666665,False
babya,base,blf,rugged,rugged,2,21.100271304693724,0.93433267777594,33.06,False
babya,base,blf,rugged,rugged,3,16.987241101695698,0.7937256395271309,29.43,False
babya,base,blf,rugged,rugged,4,18.995978424358515,0.933495552200144,19.346666666666668,False
babya,base,blf,rugged,rugged,5,14.76823696836812,0.9296528379312248,57.45,False
babya,base,blf,rugged,rugged,6,19.1668966348934,0.9299606026791772,32.39666666666667,False
babya,base,blf,rugged,rugged,7,21.446077781537333,0.9099992341416988,3.28,False
babya,base,blf,rugged,rugged,8,16.22161509956041,0.8483782829769113,45.81333333333333,False
babya,base,blf,rugged,rugged,9,14.202476845881906,0.8006513943643079,27.343333333333334,False
babya,base,blf,rugged,rugged,10,21.810852078996444,0.9234350646333024,9.103333333333332,False
babya,base,blf,rugged,rugged,11,18.288825844473163,0.9326305204941716,2.9566666666666666,False
babya,base,blf,rugged,rugged,12,17.58327471840466,0.8919279322833398,23.54,False
babya,base,blf,rugged,rugged,13,22.272878899458085,0.8818942912691139,4.303333333333334,False
babya,base,blf,rugged,rugged,14,23.224818891376565,0.9166421575046896,9.593333333333334,False
babya,base,blf,rugged,rugged,15,19.8678057385271,0.912504183505374,3.56,False
babya,base,blf,rugged,rugged,16,17.872628676186487,0.9025813619535152,8.103333333333333,False
babya,base,blf,rugged,rugged,17,21.975790243893854,0.9359914211585172,23.51,False
babya,base,blf,rugged,rugged,18,18.83574690355807,0.917636800827114,30.796666666666667,False
babya,base,blf,rugged,rugged,19,16.59911581057695,0.8296064168543056,50.736666666666665,False
babya,base,blf,rugged,rugged,20,20.382224056435348,0.9187156287596516,8.066666666666666,False
babya,base,blf,rugged,rugged,21,22.48328385091853,0.9367608249329644,18.39333333333333,False
babya,base,blf,rugged,rugged,22,17.014614967045812,0.8901058250671406,4.3933333333333335,False
babya,base,blf,rugged,rugged,23,24.79540086234497,0.9213306645701326,21.92333333333333,False
babya,base,blf,rugged,rugged,24,15.728014772900826,0.8945818849996224,0.2266666666666666,False
babya,base,blf,rugged,rugged,25,19.66073646790656,0.9350560028890966,24.566666666666663,False
babya,base,blf,rugged,rugged,26,17.887241092830426,0.901277565447708,44.50333333333333,False
babya,base,blf,rugged,rugged,27,23.910897819559345,0.9153611920529028,19.11,False
babya,base,blf,rugged,rugged,28,23.440497248216737,0.9502037003294752,12.513333333333334,False
babya,base,blf,rugged,rugged,29,20.48520015655945,0.9199727459691124,8.133333333333333,False
babya,base,blf,rugged,rugged,30,21.07369351935549,0.919754900000675,24.05333333333333,False
babya,phi,uncoupled,flat,flat,1,7.748425291039335,0.5392869032283544,38.55,False
babya,phi,uncoupled,flat,flat,2,14.00554959345652,0.807588228261861,11.886666666666668,False
babya,phi,uncoupled,flat,flat,3,13.261622025970356,0.8176856924241122,1.23,False
babya,phi,uncoupled,flat,flat,4,22.050312073843035,0.8749583103053556,0.2433333333333333,False
babya,phi,uncoupled,flat,flat,5,9.810547761255174,0.6980921377197404,25.46333333333333,False
babya,phi,uncoupled,flat,flat,6,13.478449298397903,0.7399406649568345,15.293333333333331,False
