robot,variant,coupling,train_terrain,eval_terrain,seed,distance,em,drag_pct,transfer
ege,base,blf,rugged,flat,4,9.822536930491545,0.5640638601216658,27.42333333333333,True
ege,base,blf,rugged,flat,5,9.458014689587875,0.8206894427820521,6.25,True
ege,base,blf,rugged,flat,6,7.81179425397282,0.8078394905796918,57.693333333333335,True
ege,base,blf,rugged,flat,7,11.2532274955157,0.7627039618588421,43.82333333333333,True
ege,base,blf,rugged,flat,8,8.245700461668054,0.6353141418685994,15.843333333333334,True
ege,base,blf,rugged,flat,9,13.989007880150586,0.841837339150936,36.07666666666667,True
ege,base,blf,rugged,flat,10,6.228822704574379,0.4539566417906396,15.843333333333334,True
ege,base,blf,rugged,rugged,1,11.529778125525288,0.8559529694762209,23.383333333333333,False
ege,base,blf,rugged,rugged,2,7.8558165800656035,0.6284226602344583,45.99,False
ege,base,blf,rugged,rugged,3,6.628221362337788,0.5706798709243842,23.15333333333333,False
ege,base,blf,rugged,rugged,4,10.26987988218256,0.6114088188839613,26.74,False
ege,base,blf,rugged,rugged,5,8.908212638437899,0.7847166977362747,7.96,False
ege,base,blf,rugged,rugged,6,7.957851439709138,0.8138732151726039,59.09666666666666,False
ege,base,blf,rugged,rugged,7,11.74964652025932,0.8165704440413576,44.50666666666667,False
ege,base,blf,rugged,rugged,8,8.519929282711106,0.6641865908191599,16.4,False
ege,base,blf,rugged,rugged,9,13.2310755759054,0.8037422028036174,35.92,False
ege,base,blf,rugged,rugged,10,9.014373270637744,0.6645508434359143,16.253333333333334,False
ege,phi,uncoupled,flat,flat,1,7.514302257544354,0.5853079338865457,50.53,False
ege,phi,uncoupled,flat,flat,2,11.154627928650743,0.7758548834121851,34.68,False
ege,phi,uncoupled,flat,flat,3,11.716953926009234,0.6750701607480837,17.026666666666667,False
ege,phi,uncoupled,flat,flat,4,8.38243851087757,0.6968698450079476,14.426666666666666,False
ege,phi,uncoupled,flat,flat,5,9.773999638243804,0.6534547918431552,15.886666666666668,False
ege,phi,uncoupled,flat,flat,6,8.95323813244323,0.6764904389877479,10.966666666666669,False
ege,phi,uncoupled,flat,flat,7,6.886808140488945,0.5378078071272749,37.49,False
ege,phi,uncoupled,flat,flat,8,9.424847544818595,0.6299720634429085,53.93333333333333,False
ege,phi,uncoupled,flat,flat,9,6.400263882368834,0.5240054313370378,56.263333333333335,False
ege,phi,uncoupled,flat,flat,10,7.361022237016909,0.5446678496624497,33.73,False
ege,phi,uncoupled,flat,rugged,1,6.005278362959603,0.5186668416142821,49.38666666666666,True
ege,phi,uncoupled,flat,rugged,2,0.1090498062976367,0.0090094522079851,37.876666666666665,True
ege,phi,uncoupled,flat,rugged,3,8.58166800546292,0.567870005430881,23.04,True
ege,phi,uncoupled,flat,rugged,4,6.045377345387541,0.6137460583524245,19.076666666666668,True
ege,phi,uncoupled,flat,rugged,5,8.198339951529704,0.6044564620715538,18.08,True
ege,phi,uncoupled,flat,rugged,6,5.3826491380895645,0.5086000333905301,15.69,True
ege,phi,uncoupled,flat,rugged,7,5.048928859954105,0.4273534930229929,39.21666666666667,True
ege,phi,uncoupled,flat,rugged,8,0.3312466945054164,0.0309498357069032,64.29333333333334,True
ege,phi,uncoupled,flat,rugged,9,5.718387481493116,0.4944934713589283,57.223333333333336,True
ege,phi,uncoupled,flat,rugged,10,2.815668870438276,0.2313892021523626,36.93,True
ege,phi,uncoupled,rugged,flat,1,7.840363884119158,0.5677772147636727,25.03,True
