robot,variant,coupling,seed,distance,drag_pct,em
insect,base,blf,10,8.3253,67.3300,0.8761
insect,base,blf,11,8.3282,68.8267,0.8960
insect,base,blf,12,8.0724,70.7667,0.8852
insect,base,blf,13,8.2228,73.3300,0.8858
insect,base,blf,14,6.6236,92.9633,0.8418
insect,base,blf,15,6.4937,94.5633,0.8280
insect,base,blf,16,6.7802,93.5533,0.8435
insect,base,blf,17,8.0778,73.5433,0.9182
insect,base,blf,18,7.1030,92.4467,0.8371
insect,base,blf,19,6.9142,67.9500,0.8281
insect,base,blf,20,6.7995,93.1567,0.8116
insect,base,blf,21,6.5261,95.3767,0.8212
insect,base,blf,22,7.7338,64.7300,0.8556
insect,base,blf,23,8.0356,74.2867,0.8582
insect,base,blf,24,7.1964,71.4633,0.8331
insect,base,blf,25,8.1330,76.1533,0.9106
insect,base,blf,26,6.4697,97.4933,0.8402
insect,base,blf,27,6.6595,89.7933,0.8197
insect,base,blf,28,7.6597,96.2233,0.9252
insect,base,blf,29,7.3092,95.9200,0.9035
insect,base,blf,30,7.6853,95.8600,0.8986
insect,base,blf,31,7.3915,66.1533,0.8596
insect,base,blf,32,7.3243,97.1100,0.8235
insect,base,blf,33,7.8204,82.7267,0.8818
insect,base,blf,34,8.3071,69.3933,0.8752
insect,base,blf,35,8.1757,75.7567,0.9065
insect,phi,uncoupled,1,8.4254,66.7233,0.9137
insect,phi,uncoupled,2,8.2970,71.1467,0.8507
insect,phi,uncoupled,3,8.7642,86.6967,0.8067
insect,phi,uncoupled,4,7.4544,76.5567,0.8544
insect,phi,uncoupled,5,6.8288,94.4933,0.8467
insect,phi,uncoupled,6,8.8236,57.2633,0.9115
insect,phi,uncoupled,7,8.0960,64.0433,0.8525
insect,phi,uncoupled,8,8.0279,95.1167,0.8430
insect,phi,uncoupled,9,7.1655,79.3267,0.8505
insect,phi,uncoupled,10,7.3992,66.6167,0.8118
insect,phi,uncoupled,11,6.6825,93.1533,0.8713
insect,phi,uncoupled,12,9.0293,84.9867,0.8754
insect,phi,uncoupled,13,8.7422,68.5433,0.9104
insect,phi,uncoupled,14,8.4673,63.1200,0.8524
insect,phi,uncoupled,15,8.6630,70.1267,0.9135
insect,phi,uncoupled,16,7.2114,71.4300,0.8190
insect,phi,uncoupled,17,8.2902,59.4000,0.8905
insect,phi,uncoupled,18,6.6310,97.1667,0.8253
insect,phi,uncoupled,19,7.6798,64.2700,0.8508
insect,phi,uncoupled,20,7.6338,75.8933,0.7842
insect,phi,uncoupled,21,6.5261,96.2633,0.8398
insect,phi,uncoupled,22,7.4949,95.6700,0.8997
insect,phi,uncoupled,23,8.5634,61.9933,0.8569
insect,phi,uncoupled,24,8.3519,68.0933,0.8961
insect,phi,uncoupled,25,7.1348,77.5033,0.8562
insect,phi,uncoupled,26,8.2829,67.4333,0.8474
insect,phi,uncoupled,27,6.7326,93.6300,0.8469
insect,phi,uncoupled,28,8.2234,58.3767,0.8780
insect,phi,uncoupled,29,8.3358,67.6067,0.8796
insect,phi,uncoupled,30,8.3919,62.9067,0.8940
insect,phi,uncoupled,31,8.7320,65.1967,0.8988
insect,phi,uncoupled,32,8.2077,63.0700,0.9100
insect,phi,uncoupled,33,8.3529,64.8267,0.8373
insect,phi,uncoupled,34,8.7013,58.4333,0.8810
insect,phi,uncoupled,35,8.3482,67.4133,0.8252
queen,base,blf,1,7.4391,71.5400,0.8384
queen,base,blf,2,5.7503,42.7133,0.7256
queen,base,blf,3,5.9619,69.1100,0.6918
queen,base,blf,4,10.9726,47.8100,0.8319
queen,base,blf,5,11.3251,39.3733,0.8844
queen,base,blf,6,10.5195,46.7067,0.8610
queen,base,blf,7,6.0840,47.1633,0.6715
queen,base,blf,8,7.5890,60.8800,0.6690
queen,base,blf,9,7.1837,57.9100,0.6799
queen,base,blf,10,10.2052,66.2533,0.9216
queen,base,blf,11,6.7572,72.5267,0.7328
queen,base,blf,12,9.6074,61.7800,0.8916
queen,base,blf,13,9.9758,51.2500,0.8679
queen,base,blf,14,10.5637,58.1533,0.8660
queen,base,blf,15,6.2476,51.4067,0.8179
queen,base,blf,16,11.2682,34.9500,0.8497
queen,base,blf,17,10.6221,35.2667,0.8845
queen,base,blf,18,7.3480,64.9700,0.8137
queen,base,blf,19,6.0080,48.0567,0.7231
queen,base,blf,20,10.5730,49.6533,0.8624
queen,base,blf,21,6.9485,43.1333,0.6454
queen,base,blf,22,9.7394,52.1667,0.8951
queen,base,blf,23,7.6176,45.1733,0.7359
queen,base,blf,24,10.0157,72.3200,0.9193
queen,base,blf,25,11.1742,38.2800,0.8715
queen,base,blf,26,6.6277,42.4500,0.7413
queen,base,blf,27,11.3401,35.5100,0.8624
queen,base,blf,28,7.7020,51.1367,0.8114
queen,base,blf,29,7.2626,66.1867,0.8349
queen,base,blf,30,10.4673,52.3133,0.8379
queen,base,blf,31,11.2883,34.8167,0.8447
queen,base,blf,32,5.7959,58.6933,0.7608
